id	label	x	y	cluster	weight<Links>	weight<Total link strength>	weight<Citations>
3008	exp parasitol	-0.718	-0.2008	2	205	8596	199
3029	expert rev anti-infe	0.0089	-0.3391	1	150	1074	31
3034	expert rev vaccines	-0.0736	-0.4919	2	118	815	21
3161	folia parasit	-1.0299	0.3057	3	81	823	24
3216	front immunol	-0.411	-0.4724	2	113	664	20
3291	genetics	-1.0035	0.1749	3	123	1433	29
3301	genome res	-0.8319	-0.3042	2	143	1431	33
3318	geospatial health	-0.2039	0.9098	5	118	1347	20
3547	guid treatm mal	0.4628	-0.8204	6	114	1259	46
3641	health policy	1.1697	0.05	1	101	895	37
3644	health policy plann	1.2782	0.0723	1	139	3359	153
3911	immunol lett	-0.5622	-0.4302	2	125	1180	24
3913	immunol rev	-0.6422	-0.4756	2	129	1023	20
3916	immunology	-0.7361	0.0017	2	110	1175	21
3979	indian j med res	0.3495	0.5218	5	159	3181	79
3994	indian journal of malariology	0.0759	1.2901	5	61	1087	22
4025	infect dis clin n am	0.4174	-0.1327	1	118	633	24
4041	infect genet evol	-0.5419	0.0888	3	209	5590	145
4043	infect immun	-0.4642	-0.4233	2	202	10074	265
4078	insect biochem molec	-1.1844	-0.2251	2	92	3248	46
4079	insect mol biol	-1.1675	0.2533	2	94	3064	67
4136	int j antimicrob ag	-0.0188	-0.2982	2	136	1103	33
4150	int j dermatol	0.4701	0.4301	4	106	1043	21
4161	int j epidemiol	0.9405	0.0253	1	186	2518	101
4173	int j gynecol obstet	1.4113	-0.0635	1	74	1108	65
4175	int j health geogr	-0.0949	0.572	3	122	1029	38
4176	int j health plan m	1.4003	0.0221	1	53	709	36
4190	int j infect dis	0.4207	0.007	1	164	1467	48
4197	int j leprosy	0.311	-0.3274	4	73	484	30
4199	int j med microbiol	-0.824	0.163	3	98	981	22
4213	int j parasitol	-0.6196	0.2073	3	227	16369	411
4232	int j std aids	0.957	-0.1216	1	98	659	27
4234	int j syst evol micr	-0.4502	-0.0369	2	82	556	23
4239	int j tuberc lung d	0.9397	0.006	1	139	3597	253
4401	j acq immun def synd	0.6975	-0.3913	1	84	588	33
4426	j am mosquito contr	-0.1599	1.2611	5	142	12481	160
4441	j antimicrob chemoth	0.0319	-0.5263	2	163	2898	81
4462	j bacteriol	-0.7484	-0.2359	2	113	1190	28
4468	j biol chem	-0.8679	-0.49	2	164	4749	117
4517	j clin invest	-0.3347	-0.5587	2	164	1733	53
4521	j clin microbiol	-0.0376	-0.1277	4	230	19082	665
4527	j clin pathol	0.5329	-0.2477	1	128	812	31
4585	j ethnopharmacol	-0.3078	-1.9953	6	56	864	45
4593	j exp med	-0.5039	-0.5939	2	153	2455	66
4627	j health popul nutr	1.0315	0.103	1	99	530	20
4633	j helminthol	-0.2238	0.5898	3	156	3024	79
4659	j immunol	-0.5774	-0.5168	2	187	7204	184
4660	j immunol methods	-0.4345	-0.5473	2	118	944	30
4667	j infect dev countr	0.406	0.1729	1	136	870	25
4670	j infect dis	-0.0585	-0.3996	2	242	24947	760
4675	j infection	0.1604	-0.2136	1	158	1096	30
4684	j int aids soc	1.1269	-0.1305	1	45	628	22
4722	j med entomol	-0.4601	1.002	5	184	19329	275
4728	j med microbiol	-0.1674	-0.2902	2	155	1393	40
4734	j med virol	-0.3496	-0.5398	2	87	757	25
4742	j mol biol	-0.8265	-0.2754	2	111	812	25
4771	j neurol sci	0.1302	0.2156	3	104	652	25
4781	j nutr	1.0007	-0.1442	1	74	1136	44
4799	j parasitol	-0.7597	0.2695	3	200	6339	159
4900	j travel med	0.2963	-0.1512	1	125	1080	43
4904	j trop med hyg	0.1291	0.7415	4	157	2090	45
4908	j trop pediatrics	0.9172	-0.0435	1	136	1775	53
4917	j vector dis	-0.1339	0.8722	5	125	1236	24
4918	j vector ecol	-0.3185	1.1931	5	148	5395	78
4931	j virol	-0.4175	-0.6582	2	120	2271	51
4932	j virol methods	0.1424	-0.4097	2	97	583	25
4947	jaids-j acq imm def	1.112	-0.1631	1	124	2786	114
4951	jama-j am med assoc	0.8637	-0.1681	1	188	2763	122
4992	journal of communicable diseases	0.3108	0.9076	5	99	2565	45
5034	journal of vector borne diseases	-0.2971	1.004	5	125	1983	31
5101	korean j parasitol	-0.3554	0.8154	3	91	1363	28
5124	lancet	0.7363	-0.1275	1	245	32881	1386
5127	lancet glob health	0.6314	-0.2141	1	109	759	23
5131	lancet infect dis	0.4144	-0.1596	1	237	9475	328
5132	lancet neurol	0.2186	0.3752	3	122	1069	44
5190	leprosy rev	0.4602	-0.2962	4	62	712	39
5336	mal rap diagn test p	0.5808	-0.7454	1	65	790	29
5367	malaria j	-0.0138	0.007	6	225	39970	1428
5521	med j australia	0.3343	-0.0951	4	96	455	20
5528	med maladies infect	0.5123	-0.1225	1	94	437	20
5558	med trop (mars)	0.2872	0.1029	4	191	3298	105
5563	med vet entomol	-0.5689	0.9074	5	184	16392	330
5595	mem i oswaldo cruz	-0.065	0.4478	5	212	11319	218
5655	microbes infect	-0.3686	-0.2603	2	195	3668	82
5723	mmwr-morbid mortal w	0.5613	-0.0607	1	88	394	23
5740	mol biochem parasit	-0.7862	-0.2899	2	199	9039	247
5743	mol biol evol	-0.9411	0.2007	3	141	1899	44
5760	mol ecol	-1.0222	0.2204	3	131	1775	44
5761	mol ecol notes	-1.0075	0.1583	3	97	993	24
5773	mol microbiol	-0.882	-0.4038	2	116	1665	37
5894	nat commun	-0.7089	-0.1193	2	132	1057	25
5898	nat genet	-0.5183	-0.275	2	155	1750	43
5918	nat med	-0.2878	-0.6106	2	150	1301	38
5930	nat rev drug discov	-0.312	-1.6903	6	50	546	25
5932	nat rev immunol	-0.4861	-0.5353	2	137	1351	34
5933	nat rev microbiol	-0.3215	-0.3606	2	201	3217	87
5966	nature	-0.5839	-0.2815	2	223	9904	252
6026	neurology	-0.027	0.324	3	130	1724	60
6041	new engl j med	0.3859	-0.3029	1	237	10295	381
6116	nucleic acids res	-0.9348	-0.2717	2	163	3537	81
6182	onderstepoort j vet	-0.4742	0.5396	3	109	1182	25
6307	p natl acad sci usa	-0.71	-0.2974	2	227	10581	269
6314	p roy soc b-biol sci	-0.8814	0.4929	3	139	1839	31
6423	parasite	-0.6372	0.541	3	175	3367	75
6426	parasite immunol	-0.4971	-0.1405	2	188	5330	120
6428	parasite vector	-0.5287	0.4507	3	219	13121	393
6441	parasitol int	-0.5308	0.5812	3	146	2713	57
6443	parasitol res	-0.6215	0.0464	3	217	7218	187
6444	parasitol today	-0.4057	0.2915	3	210	6545	191
6448	parasitology	-0.6136	0.152	3	237	17014	454
6455	parassitologia	-0.7431	0.9381	5	102	1766	23
6456	parassitologia (rome)	-0.5915	1.0131	5	136	3944	46
6472	pathog glob health	0.0054	0.4147	3	105	657	22
6513	pediatr infect dis j	0.3108	-0.4301	1	144	2693	54
6520	pediatrics	0.5267	-0.326	1	128	1311	43
6603	phytochemistry	-0.307	-2.0176	6	26	298	20
6607	phytother res	-0.3182	-2.0375	6	35	411	21
6613	placenta	0.1422	-0.5154	1	93	1893	20
6649	planta med	-0.3078	-2.014	6	57	734	37
6658	plos biol	-0.8722	-0.1094	2	134	1192	22
6664	plos med	0.5091	0.0496	1	233	11663	356
6670	plos neglect trop d	-0.0515	0.0685	3	240	41846	1209
6673	plos one	-0.0914	-0.0471	2	244	24877	727
6674	plos pathog	-0.7138	-0.3634	2	180	4196	105
6790	prev vet med	-0.3475	0.5619	3	127	1895	66
7041	r lang env stat comp	-0.4649	0.509	3	172	1615	44
7266	res vet sci	-0.5932	0.3799	3	118	922	28
7319	rev cubana med trop	0.7526	0.599	5	76	689	33
7364	rev infect dis	0.2413	0.0295	1	139	863	20
7368	rev inst med trop sao paulo	-0.212	0.0966	3	126	1306	39
7412	rev panam salud publ	0.8884	0.3774	5	92	754	31
7428	rev saude publ	0.0823	1.1636	5	110	2453	24
7430	rev sci tech oie	-0.3096	0.3158	3	138	1113	39
7434	rev soc bras med tro	0.171	-0.3832	1	132	3106	47
7460	revista do instituto de medicina tropical de sao paulo	-0.0394	-0.0267	5	107	1005	21
7532	s afr med j	0.7727	0.0762	1	124	1289	34
7554	samj s afr med j	0.7144	-0.2153	1	96	550	27
7562	sante	0.3989	0.5376	1	107	1012	20
7595	scand j infect dis	0.0007	-0.3514	1	133	812	24
7614	sci rep-uk	-0.7733	0.0876	3	104	642	22
7631	science	-0.4216	-0.3509	2	230	7206	198
7638	se asian j trop med	0.2439	0.8949	5	121	942	27
7694	sex transm dis	0.8985	-0.1081	1	98	1258	44
7696	sex transm infect	1.0293	-0.1012	1	91	1250	52
7753	soc sci med	1.1247	0.0927	1	174	4910	247
7811	southeast asian j trop med public health	0.0706	0.7762	3	110	872	24
7812	southeast asian journal of tropical medicine and public health	0.1869	0.8954	5	184	4900	118
7872	stat med	0.6295	0.2991	1	156	1568	47
7949	stud family plann	1.3718	-0.0461	1	45	563	49
7958	studies hlth service	1.6375	-0.0345	1	24	411	22
8005	syst parasitol	-1.0603	0.3272	3	43	544	22
8019	t r soc trop med hyg	-0.0529	0.217	4	164	1371	43
8023	t roy soc trop med h	0.219	0.2127	4	243	52650	1614
8141	thesis	-0.077	0.4926	3	102	626	26
8234	ticks tick-borne dis	-0.7903	0.2926	3	85	1767	51
8293	transfusion	0.4975	-0.3859	1	117	786	37
8329	trends parasitol	-0.4238	0.0948	3	226	12664	327
8337	trop anim health pro	-0.435	0.5675	3	130	2715	62
8343	trop doct	0.8702	0.0262	1	155	1786	66
8345	trop geogr med	0.1776	0.3681	4	162	1978	69
8350	trop med int health	0.6359	0.2123	1	240	44996	1730
8353	trop med parasitol	0.0756	0.3517	4	172	2704	81
8358	tropenmed parasitol	-0.2269	0.389	4	100	887	27
8518	vaccine	-0.1897	-0.412	2	189	7139	184
8541	vector-borne zoonot	-0.5518	0.2562	3	165	3944	98
8567	vet j	-0.3686	0.7224	3	86	779	23
8572	vet microbiol	-0.3706	0.3785	3	88	712	28
8575	vet parasitol	-0.5013	0.5137	3	204	18981	582
8580	vet rec	-0.6059	0.4419	3	131	1909	54
8613	virology	-0.4797	-0.6834	2	73	1276	23
8773	who tech rep ser	0.3445	-0.0706	1	161	1476	60
8775	who techn rep ser	0.347	0.2589	4	143	1442	53
8966	wkly epidemiol rec	0.3053	-0.0205	4	185	2132	88
9065	world malaria report 2013	-0.1404	0.2772	6	109	767	27
